"","Gp","Ep","Sp","ESGIp"
"Egypt, Arab Rep.-2008",26.5617684169421,22.9461384401146,71.1111749887036,33.9160068443724
"Egypt, Arab Rep.-2009",28.1973470859769,21.7206494432113,72.3181566371759,35.3503337459485
"Egypt, Arab Rep.-2010",26.3813317415613,21.8708492024025,75.3180568961265,34.5206603948788
"Egypt, Arab Rep.-2011",21.8774976135685,21.796403225504,77.1207391721165,31.3067358955937
"Egypt, Arab Rep.-2012",22.3391333922239,21.5665513465864,77.889286586778,31.8060583534477
"Egypt, Arab Rep.-2013",18.9918834550147,21.7477259471396,79.4825006597276,29.4871805167593
"Egypt, Arab Rep.-2014",18.4939854257194,21.5286496624794,79.4472002787739,29.0680205227111
"Egypt, Arab Rep.-2015",19.4747917123167,21.3292770391169,78.9106304560858,29.7216650248269
"Egypt, Arab Rep.-2016",20.3960049540198,20.9636519443196,80.1467475288956,30.6666044605709
"Egypt, Arab Rep.-2017",21.4036027467824,20.5301308685018,80.9981163418346,31.5979587909305
"Egypt, Arab Rep.-2018",23.1059576175362,20.6780601923027,80.2033485036471,32.8000432267358
"Egypt, Arab Rep.-2019",23.9058792499673,21.320978741344,80.8522707437868,33.614917277831
"Finland-2004",100,48.1326371920432,87.8555215523619,97.4486423290927
"Finland-2005",98.4404790259112,54.0817195251242,88.7752349165082,96.8837823549544
"Finland-2006",97.994503577163,46.862325677345,90.2923175868809,96.2407704513897
"Finland-2007",96.2868282296326,49.0301409587367,91.2471104874314,95.2559077672581
"Finland-2008",96.8141825310664,55.2736139237667,92.8054590811413,96.4942718711324
"Finland-2009",98.6570246400249,52.7307720913538,94.5729424701036,98.0961397340089
"Finland-2010",98.7224786059486,50.092698220819,95.9094326166759,98.1973700192491
"Finland-2011",98.9035272343084,54.3252253942033,96.9459203919502,98.8932085236278
"Finland-2012",99.5245397503151,60.7447721033376,97.3958985179684,100
"Finland-2013",99.3246259719904,57.9606590361237,93.5312126251833,98.8461049744945
"Finland-2014",98.8110092986172,60.9213316270131,93.9908435252494,98.7732118019223
"Finland-2015",97.2169056601775,65.6249712807338,93.555176761074,97.809767830559
"Finland-2016",96.6606849286826,64.54238116001,93.2214035870594,97.2144301202887
"Finland-2017",97.6523419971424,66.8443039409613,92.9887350480156,98.1418725177606
"Finland-2018",97.3779205682424,65.9375422073035,92.7312636719741,97.7992021139421
"Finland-2019",97.0707787368562,67.3865188645573,92.7879860285072,97.6859562155589
"France-2004",83.7392420946075,28.7543055347403,78.8054417521635,81.1897648792758
"France-2005",83.7304885938424,28.0353442109647,79.3943378958304,81.240921495948
"France-2006",84.6021702186522,29.1579701774059,80.6797234587541,82.2783119733056
"France-2007",84.0304213848879,30.0676668240201,81.4976107288685,82.0625838673181
"France-2008",84.6376950544021,31.2003447636007,81.8236261505097,82.7009035045489
"France-2009",83.4999784361696,31.8920127931953,82.0095380906192,81.893695347075
"France-2010",84.7813411528579,32.2716973830345,82.1164233544654,82.9605292458081
"France-2011",83.5228311845186,31.8178199059252,82.5904521443726,82.0210944331718
"France-2012",83.0334636867481,33.9221830198716,82.7568002347726,81.8390200773891
"France-2013",82.9181294066056,35.2969307483599,83.0105571833299,81.9106925680671
"France-2014",82.0232422774962,35.8993758209621,83.3578781071577,81.3204951102775
"France-2015",81.0708760475818,35.5363475612275,83.59961680446,80.5847498915141
"France-2016",79.9966457594479,36.5912424317491,83.9616255131482,79.8925298483372
"France-2017",81.3588581264832,35.9336712171373,84.1350045017062,80.9516359689403
"France-2018",81.3275005939164,38.1984218108475,84.2413389159827,81.1334027867612
"France-2019",82.9868445073709,38.6257477395135,84.6304404418165,82.5594562411704
"Germany-2004",86.8346655745506,22.6155889814756,80.9335503128137,83.5604954534533
"Germany-2005",88.4464119704416,23.577961129998,82.1224635526645,85.1515413138407
"Germany-2006",89.7645753588743,23.9870721836038,83.4685014334498,86.4960434031801
"Germany-2007",89.6957303893893,26.0770721397364,85.0835166107837,86.9334740070709
"Germany-2008",88.4899368207346,26.4005333868171,86.4291015738432,86.2725471191792
"Germany-2009",88.2448248474339,28.572574572435,86.4245386500495,86.2554563594274
"Germany-2010",88.1586363861886,27.9882126328642,84.304423422082,85.718261235346
"Germany-2011",88.5066917487995,30.6440819692845,84.4952291102753,86.2492342309221
"Germany-2012",89.0583594381197,32.0760004665899,84.5573797334033,86.8156257299017
"Germany-2013",89.4417541069981,32.3949016476178,85.5310908696726,87.3386917596424
"Germany-2014",92.3994714896203,34.4967941972395,85.338743212205,89.8143751060787
"Germany-2015",91.029457854142,36.4215776530673,84.900127288508,88.8001902123935
"Germany-2016",90.7261409928569,36.4164525690855,86.0002593495187,88.7781307900243
"Germany-2017",90.1501407506102,39.1595926989423,86.6743331355567,88.6806237131097
"Germany-2018",90.1763006802929,41.0009416956138,86.1777748190657,88.7535076284089
"Germany-2019",89.2565576479796,45.0407193116638,86.4053212260089,88.4013442425832
"Greece-2004",71.2142115486398,23.0679149878539,80.484077857418,71.1408830223088
"Greece-2005",70.4724577062049,22.9232772766959,81.9090515352869,70.8247891250892
"Greece-2006",70.1739322126783,24.3710029099767,83.2820409163066,70.9797008497031
"Greece-2007",69.3727153209279,20.8462242029308,84.7301679173008,70.3443067212232
"Greece-2008",68.0298822921992,22.4443644264724,86.6353157101132,69.7904116314362
"Greece-2009",65.0229006398444,26.0075136348152,86.4509637989097,67.6648466658697
"Greece-2010",63.7908713311118,30.040014944822,85.5584373879716,66.8423670997034
"Greece-2011",62.5568093438645,27.6950388048728,85.7508534577065,65.7114814885352
"Greece-2012",59.966179128553,29.8632658472005,87.4973405620235,64.1848264222448
"Greece-2013",62.2480644611252,36.3342761478325,86.6876375247762,66.3606175674469
"Greece-2014",59.7521616272737,36.2242511635641,86.5784888622934,64.3538147656276
"Greece-2015",58.828953088979,39.4131829806278,86.9338629514665,63.9546160994785
"Greece-2016",57.4651314782102,39.1806723071188,86.9013404831555,62.849318907464
"Greece-2017",58.3495803440543,37.1691095751108,87.2684498266271,63.4577518441648
"Greece-2018",61.7952732879274,40.7580262850957,86.0818534641913,66.2440888380283
"Greece-2019",63.9430383005183,42.2160005978352,85.618153527344,67.9718677881819
"Hungary-2004",70.4704342254606,21.6874138676697,78.7896741662433,70.1024013920709
"Hungary-2005",70.1783535131479,23.1572631366343,79.5230897185097,70.1371948240104
"Hungary-2006",71.5152320621873,22.6835315694255,80.9429768602602,71.438881365166
"Hungary-2007",69.6601773309368,23.2509654489082,82.1839281328635,70.2631045584226
"Hungary-2008",69.1580268253397,24.1817653321083,83.9622446186321,70.2949700169129
"Hungary-2009",66.9115384116898,26.4924583340537,83.8294074970327,68.679181015631
"Hungary-2010",67.0485600875405,26.4823636749144,84.2557458606465,68.871519938654
"Hungary-2011",67.6465512122438,26.4502018710607,84.1695556233916,69.3252219822277
"Hungary-2012",66.0438323830517,27.124862523016,84.4553283145154,68.1682932890416
"Hungary-2013",66.2854906185496,28.5806535877227,84.5849719214948,68.504597628634
"Hungary-2014",63.0793052084971,29.4488403625698,85.4851656227661,66.2160217211781
"Hungary-2015",62.820768669506,28.9114102654602,83.5032741980258,65.5736689145855
"Hungary-2016",61.2035933144858,28.4956367630705,84.2529225295497,64.4081277392708
"Hungary-2017",62.4788561012764,28.2873697799296,84.4772117618006,65.4453001506893
"Hungary-2018",61.786469526744,28.9576130323734,84.8910271198175,65.0341906161418
"Hungary-2019",61.0978314110542,30.3213454904406,85.6146920018464,64.7443853802966
"India-2004",0,38.0659191049305,0,0
"India-2005",4.26424866919759,38.5403293660185,4.55465838107614,4.3196906452057
"India-2006",6.41476335751488,39.3230384812097,7.59757758577867,6.69083309571538
"India-2007",7.94677768815169,39.8300647411527,11.951960456331,8.81018918801573
"India-2008",9.01205154256788,39.400991217299,16.0283180452243,10.4281225625936
"India-2009",9.40168233954729,38.2739294428685,22.5158842520556,11.9328745424545
"India-2010",11.0212280918764,38.4059776789417,27.4434417394984,14.2046683233899
"India-2011",12.1207209441537,39.3163924210703,21.7823599392403,14.0253338070006
"India-2012",12.5627471031733,38.1623973245126,35.1056208939794,16.9270756159939
"India-2013",14.6104636225349,38.9887153176031,37.4431781316623,19.0803001110028
"India-2014",17.3261567900627,38.217736304812,42.2329222041121,22.1186338632383
"India-2015",21.0263890343277,37.3148559942249,48.3598929310161,26.1912683093342
"India-2016",23.2171739160637,37.0581837028556,52.2475041223717,28.6769468589229
"India-2017",25.8205248930879,37.7082714096081,56.9314460420258,31.7216994446611
"India-2018",27.5796542947634,38.3193057919792,60.9279174208283,33.9583013785669
"India-2019",29.1448029938913,39.6453804369624,64.7802486447273,36.0712500778955
"Indonesia-2004",1.04064271943075,52.0137038376529,46.6972773709333,11.2412427565091
"Indonesia-2005",5.85139101156449,51.9632404987407,46.3414566842028,14.9753117339873
"Indonesia-2006",10.0036990942528,51.0747153835181,53.0954268344855,19.53158478007
"Indonesia-2007",13.7028380341793,51.2071294567308,55.7641616122572,23.0012619564681
"Indonesia-2008",15.829529192557,51.1745528731076,60.4942728207259,25.6218853929796
"Indonesia-2009",17.3281691906735,50.9678902367817,63.2500903894813,27.3388609447762
"Indonesia-2010",18.1697386301896,52.7080651149774,67.0366930652134,28.8997790293399
"Indonesia-2011",20.2055044662231,49.5813550440488,70.0897214717782,30.8619125906918
"Indonesia-2012",22.9108503337688,48.7916428751503,73.1290419704962,33.5428490530749
"Indonesia-2013",25.1757628997024,50.0121378824044,75.7608766095422,35.9587680535437
"Indonesia-2014",29.1977793272913,49.2801679570654,77.0966955427447,39.348546722827
"Indonesia-2015",28.1748133849239,47.9283681427918,78.7196846420628,38.7502736149521
"Indonesia-2016",32.2109546909155,48.8088383652724,81.6317377631591,42.5963607819939
"Indonesia-2017",33.2974196551587,48.7594182447475,84.926065682277,44.1068366590512
"Indonesia-2018",34.8932717452563,51.2711516725431,80.8949857351508,44.7753847854229
"Indonesia-2019",35.5721047315512,50.1333940608259,82.8955715052671,45.6170264257759
"Ireland-2004",84.6827473200293,8.15452388368314,75.0137290800898,79.4966282264422
"Ireland-2005",87.8663819737226,8.84023608356463,75.5587421607888,82.1816559014885
"Ireland-2006",88.5341807104239,10.6260635767139,77.3557319161593,83.213552321737
"Ireland-2007",89.3570241925888,11.6235499928532,77.9452145325011,84.063806266864
"Ireland-2008",89.6243828932131,13.3510073457697,77.8940449880461,84.4067938332425
"Ireland-2009",87.3320013289929,17.3147159259707,77.13631062346,82.7659267223853
"Ireland-2010",86.9605955732599,16.8854411556476,77.156102490738,82.4406441588796
"Ireland-2011",86.5425109816159,22.4213150046824,77.7016556702804,82.6713520827822
"Ireland-2012",86.5186948977155,22.1090559151497,77.9300933176886,82.6722956398531
"Ireland-2013",86.455562045867,24.1017061877822,77.6995797568035,82.7397156398142
"Ireland-2014",89.1805455945084,25.987718333215,77.7995026557415,85.0715049916531
"Ireland-2015",88.7709287310817,27.3568741539859,77.7210397042831,84.8437376040571
"Ireland-2016",86.131217087285,25.1631259091982,77.7755805610713,82.5849390873775
"Ireland-2017",85.7124075837458,28.2152468198655,77.7573753162884,82.4996897937627
"Ireland-2018",86.9427451047282,30.8649506258511,77.7440565539487,83.6881549876096
"Ireland-2019",85.5120566927421,33.6985501212521,78.0056002337559,82.8394258797547
"Italy-2004",70.8587501413717,30.0490880609554,83.9930565970049,72.128134690361
"Italy-2005",70.2579386341064,29.113701003824,86.0931466137597,71.9929639968947
"Italy-2006",69.5713360222347,29.5101565240062,87.8076305664853,71.82235177257
"Italy-2007",68.4701034880394,29.3088486146702,89.4440941495904,71.2590084859307
"Italy-2008",68.8349830950167,31.6151525061523,89.8467608074938,71.8167540138033
"Italy-2009",68.2699332533124,36.5570466773973,89.7705039489494,71.7589543175688
"Italy-2010",68.3630553438783,37.4290817204511,90.7128289855151,72.091264567365
"Italy-2011",67.566866915995,38.9984012430876,91.3218122483814,71.7103657104958
"Italy-2012",67.3725882678308,41.7599682000244,91.4946222466822,71.8170315543953
"Italy-2013",68.0475372516385,47.5486718834636,91.2800836713227,72.7828765001994
"Italy-2014",66.8907616753991,50.8892616298116,89.8283643089099,71.8522464325632
"Italy-2015",66.8870575597467,47.8602102493435,89.3110770644349,71.4985029195822
"Italy-2016",68.0482406308455,47.3844201802036,89.0316029288787,72.3233865724072
"Italy-2017",67.8734000536447,46.3236061443497,88.6397049733848,72.0202424132409
"Italy-2018",67.8583833869869,49.0984839773253,88.6448182217282,72.2366196581845
"Italy-2019",69.4335597924648,49.8075973177474,88.2759456541888,73.4685618136381
"Japan-2004",83.2667590707497,43.5871008840604,87.8754667395713,83.8319208878539
"Japan-2005",83.2575849460085,42.7247597713647,88.4950555931234,83.8770984825301
"Japan-2006",85.9363469749495,43.6251775030154,88.9938277755374,86.170795993945
"Japan-2007",83.9210712542556,42.2410686439539,89.6187907679262,84.5859939708144
"Japan-2008",83.7768108175272,43.4764449206322,89.9868183722817,84.6460469841649
"Japan-2009",84.472242776165,44.6639711932442,90.2777766523694,85.3516940784111
"Japan-2010",84.8113127695513,44.3339965498643,90.849872997336,85.706757033587
"Japan-2011",85.2472245817649,43.8771425588136,91.5673155133013,86.1569716943651
"Japan-2012",85.9939096811769,43.5212148408795,92.2502237681102,86.8546450729155
"Japan-2013",87.671782921057,43.9503255042593,92.8451394041153,88.336394135539
"Japan-2014",89.0997278137276,45.697330562227,94.011460669135,89.8416874279184
"Japan-2015",88.9181315889039,47.4043585016833,94.4316433966677,89.9211655139743
"Japan-2016",89.3586811009063,47.9283325698008,95.0473052644756,90.435162024566
"Japan-2017",89.447478881878,49.3375155376904,95.5556926082949,90.7218496212454
"Japan-2018",89.0129112450393,50.5376261542584,96.1911766812385,90.6022883456765
