"","X","Gp","Ep","Sp","ESGIp","spreads","country","year","real_interest_rate","yearQ","quarter","total_debt","debt_to_GDP","fx","nonbank_domestic_debt","bank_domestic_debt","official_domestic_debt","domestic_debt","nonbank_foreign_debt","bank_foreign_debt","official_foreign_debt","foreign_debt","woe_country_code","GDP_cte","GDP_cur","GDP_per_cap_cte","inflation_mean","inflation_end","unemployment","lending_borroeing_rate","account_balance","develop","ln_GDP_cte","ln_GDP_cur","ln_GDP_per_cap_cte","taxes","vix_EUA","vix_EUR","Scale","nominal_rate","GDP_per_cap_cur_USD","ln_GDP_per_cap_cur","yearnum","post_08","post_09","post_15","post_16","post_17","ticker","fx_volatility","less_20","bet_20_40","bet_40_60","bet_60_80","bet_80_100","more_100","fx_return","int_liq"
"11","Australia-2014",93.9963752535976,8.69624409740778,81.0625227939653,88.1164072855273,0.5688,"Australia","2014",4.40524882281113,"2014Q4",4,473.90625,29.5725514676277,0.889875519729115,170.04225,54.85025,251.04475,251.04475,40.0025,4.56725,178.29175,222.8615,193,2582,1114.731,1095,2.488,1.622,6.058,-2.919,-3.072,"AM",7.85631957140659,7.01636839918202,6.9985096422506,63.6685162166664,14.1312109375,18.281921875,"Units",2.5,62510.7911705641,11.0430944795497,2014,"YES","YES","NO","NO","NO","2",0.044171321688425,"NO","YES","NO","NO","NO","NO",-0.094879304834761,50814.0596297978
"12","Australia-2015",92.6147941021841,7.80969417751423,81.2952958610279,86.9961792449948,0.6106,"Australia","2015",6.15850255705118,"2015Q4",4,531.00525,32.5841939798792,0.740750553385969,179.49875,70.3995,281.6645,281.6645,39.33975,5.69925,204.30225,249.34075,193,2306,1152.307,0.837,1.485,1.69,6.05,-2.803,-4.619,"AM",7.743269700829,7.04952129880843,-0.177931208492662,64.8908594986989,16.7210116731517,23.9926661478599,"Units",2,56755.7217124249,10.9465117533878,2015,"YES","YES","YES","NO","NO","2",0.0592943941535798,"NO","YES","NO","NO","NO","NO",-0.0638839084859131,43058.855070596
"13","Australia-2016",93.3697619746529,8.33353350753969,81.5502257008423,87.6874542590106,0.3207,"Australia","2016",5.98574231814136,"2016Q4",4,586.31825,35.0686164864923,0.748724944142395,185.81625,104.5045,330.68925,330.68925,39.223,15.14225,201.26375,255.629,193,2776,1196.554,1069,1.277,1.385,5.7,-2.509,-3.271,"AM",7.9287663216267,7.08720103796396,6.97447891102505,64.2338295439127,15.863488372093,23.5903348837209,"Units",1.5,49971.131456129,10.8192007467901,2016,"YES","YES","YES","YES","NO","2",0.0393676321582181,"NO","YES","NO","NO","NO","NO",-0.201316037715391,50872.0937227773
"14","Australia-2017",92.5596454808437,9.10792172094923,81.3557310078712,87.0708388576323,0.2246,"Australia","2017",1.45051082926735,"2017Q4",4,650.7275,36.6582728242676,0.774375295715869,205.1765,122.88875,371.8715,371.8715,47.998,25.89425,204.964,278.856,193,2461,1249.092,0.874,1.972,2.004,5.575,-1.691,-2.561,"AM",7.80832305039106,7.13017216634003,-0.134674903326602,64.1103056368251,11.0908914728682,14.7667779069768,"Units",1.5,54066.4712686117,10.8979695179681,2017,"YES","YES","YES","YES","YES","2",0.031232672580166,"NO","YES","NO","NO","NO","NO",0.0106506278691705,63561.3151181818
"15","Australia-2018",93.6422080906316,10.3007912424958,81.4916078789255,88.0526290226073,-0.3662,"Australia","2018",3.30362396248425,"2018Q4",4,685.36975,36.8052923906605,0.733399769166156,218.03975,118.581,388.2765,388.2765,56.481,30.40375,210.20825,297.09325,193,2730,1314.459,1106,1.934,1.786,5.292,-0.000942,-2.055,"AM",7.91205688817901,7.18118045311674,7.00850518208228,65.1876314296205,16.5691015625,16.331809375,"Units",1.5,57395.9194663167,10.9577284903437,2018,"YES","YES","YES","YES","YES","2",0.0498609702925799,"NO","YES","NO","NO","NO","NO",0.033123928042877,51048.0869203007
"16","Australia-2019",93.4962431022959,13.0590414498418,81.8743815883016,88.2389784122405,-0.5475,"Australia","2019",1.73965018749557,"2019Q4",4,719.7795,36.7146924337889,0.693950703292852,227.6755,137.22325,404.8305,404.8305,62.67725,25.23825,227.03325,314.949,193,1847,1362.073,0.294,1.61,1.842,5.183,-3.732,0.000509,"AM",7.52131798019924,7.21676308292367,-1.22417551164346,NA,15.3830078125,15.04932421875,"Units",0.75,54907.1019101424,10.9133979799717,2019,"YES","YES","YES","YES","YES","2",0.0298875075180753,"NO","YES","NO","NO","NO","NO",-0.0558706564583463,56363.5757034779
"17","Austria-2004",92.3414429059417,64.3766744351147,84.9910373569023,92.1464079885077,-0.5482,"Austria","2004",NA,"2004Q4",4,164.3895,69.05,1.260225,20.351,41.311,62.46625,62.46625,68.52975,24.12025,9.273,101.92325,122,2735,287520,2091,1.963,2.512,5.5,-4.839,2.076,"AM",7.91388671485608,12.5690477020174,7.64539769942863,27.8828792998736,15.4567938931298,18.8862977099237,"Units",2,36821.5214680093,10.5138377757152,2004,"NO","NO","NO","NO","NO","13",0.02668000125523,"NO","NO","NO","YES","YES","NO",NA,NA
"18","Austria-2005",91.4189500157643,63.8036036585666,86.2554758190961,91.6202427168651,-1.1111,"Austria","2005",NA,"2005Q4",4,182.6965,73.325,1.222375,28.42875,40.66575,69.9195,69.9195,72.68175,27.7265,12.3685,112.7765,122,2244,303129,1550,2.1,1.519,5.642,-2.541,2.258,"AM",7.71601526664259,12.6219137364631,7.34601020991329,26.8957567653967,12.7798461538462,14.031135,"Units",2.25,38403.1338770715,10.5558943466279,2005,"NO","NO","NO","NO","NO","13",0.0323265814885837,"NO","NO","NO","YES","YES","NO",NA,NA
"19","Austria-2006",92.6524763632455,65.6789076408743,87.0961889829181,92.9174411056451,-0.7222,"Austria","2006",NA,"2006Q4",4,186.2075,70.975,1.266175,28.55725,39.07525,68.48975,68.48975,81.87975,20.9025,14.93525,117.7175,122,3454,323090,2920,1.69,1.642,5.233,-2.563,3.295,"AM",8.14728825870662,12.6856862011634,7.97933889526233,27.146680402616,12.7803846153846,16.5267488461538,"Units",3.5,40635.2818159724,10.6123919784647,2006,"NO","NO","NO","NO","NO","13",0.0243665588923474,"NO","NO","NO","YES","YES","NO",-0.0309643112792719,NA
"20","Austria-2007",94.6287528209857,68.0554916566792,87.9759645894428,94.8515178920835,0.4088,"Austria","2007",NA,"2007Q4",4,197.8775,71.25,1.393075,30.5835,34.7415,66.33975,66.33975,82.2495,31.535,17.75325,131.5375,122,3727,344136,3387,2.199,3.456,4.867,-1.382,3.802,"AM",8.22335889947926,12.748792207063,8.12769985281777,28.1433722197087,17.4525670498084,19.6144287356322,"Units",4,46855.7717452095,10.7548294763477,2007,"NO","NO","NO","NO","NO","13",0.0277013257381492,"NO","NO","NO","YES","YES","NO",0.0345923746717476,NA
