"","X","Gp","Ep","Sp","ESGIp","spreads","country","year","real_interest_rate","yearQ","quarter","total_debt","debt_to_GDP","fx","nonbank_domestic_debt","bank_domestic_debt","official_domestic_debt","domestic_debt","nonbank_foreign_debt","bank_foreign_debt","official_foreign_debt","foreign_debt","woe_country_code","GDP_cte","GDP_cur","GDP_per_cap_cte","inflation_mean","inflation_end","unemployment","lending_borroeing_rate","account_balance","develop","ln_GDP_cte","ln_GDP_cur","ln_GDP_per_cap_cte","taxes","vix_EUA","vix_EUR","Scale","nominal_rate","GDP_per_cap_cur_USD","ln_GDP_per_cap_cur","yearnum","post_08","post_09","post_15","post_16","post_17","ticker","fx_volatility","less_20","bet_20_40","bet_40_60","bet_60_80","bet_80_100","more_100","fx_return","int_liq"
"146","Czech Republic-2005",72.1893462150244,17.8026998554503,86.5505944514787,72.6866766017927,-0.6891,"Czech Republic","2005",5.69880896958772,"2005Q4",4,903.593,28.275,0.0412411065684871,263.0625,420.704,683.766,683.766,103.511,90.091,26.225,219.827,935,6533,232418,6497,1.878,2.261,7.932,-2.991,-2.105,"AM",8.78462153484075,12.3562927536284,8.77909581088053,17.6665064183334,12.7798461538462,14.031135,"Units",2,13346.1763898857,9.49898521006179,2005,"NO","NO","NO","NO","NO","10",0.830362172198828,"NO","YES","NO","NO","NO","NO",NA,NA
"147","Czech Republic-2006",73.6173589273101,17.995401109876,87.0479842197007,73.9318687734789,-0.987200000000001,"Czech Republic","2006",4.8691001758956,"2006Q4",4,954.72375,28,0.0448838528733716,286.0895,411.4985,697.58775,697.58775,111.7845,112.127,33.225,257.13625,935,6854,255863,6595,2.523,1.72,7.128,-2.172,-2.466,"AM",8.83258770243455,12.4523974239645,8.79406706515142,17.69711921401,12.7803846153846,16.5267488461538,"Units",2.5,15183.6360541375,9.62797355152514,2006,"NO","NO","NO","NO","NO","10",0.86765832846098,"NO","YES","NO","NO","NO","NO",0.0337997528954409,NA
"148","Czech Republic-2007",72.3998130635298,17.6394531272799,87.8052095052506,73.0891357590695,0.7418,"Czech Republic","2007",2.19307697217228,"2007Q4",4,1021.38525,27.475,0.0503203076841313,305.37175,435.1605,740.53225,740.53225,122.91975,119.8085,38.125,280.85325,935,5603,277457,5287,2.873,5.435,5.306,-0.000654,-4.612,"AM",8.63105744756528,12.5334212452069,8.57300625623545,17.8481636856974,17.4525670498084,19.6144287356322,"Units",3.5,18373.6489976913,9.81867279744285,2007,"NO","NO","NO","NO","NO","10",1.1649194066328,"NO","YES","NO","NO","NO","NO",0.0811593941180038,NA
"149","Czech Republic-2008",74.2734128301013,19.0140404322361,88.2344983808543,74.7703835599209,1.9537,"Czech Republic","2008",4.11307980747008,"2008Q4",4,1096.74975,27.65,0.0595089085691023,351.95125,435.8355,787.7865,787.7865,132.25675,134.8565,41.85,308.9635,935,2682,290440,1797,6.318,3.666,4.381,-1.98,-1.87,"AM",7.89431806384162,12.5791522934942,7.49387388678356,16.1329278645532,32.5826717557252,33.7087614503817,"Units",2.25,22698.8539572605,10.0300697157307,2008,"YES","NO","NO","NO","NO","10",1.55758144808973,"NO","YES","NO","NO","NO","NO",0.108036994624223,NA
"150","Czech Republic-2009",74.2676406890281,21.1383292665535,87.4424898768903,74.7824745033951,0.0701999999999998,"Czech Republic","2009",3.30534432972193,"2009Q4",4,1253.5315,31.575,0.053960859758318,416.9355,470.035,886.9705,886.9705,176.20275,138.0085,52.35,366.5615,935,-4803,278600,-5555,1.029,0.000994,6.706,-5.45,-2.27,"AM",NA,12.5375323403278,NA,14.7375349299092,31.5984942084942,33.6347776061776,"Units",1,19741.5976279826,9.89048324324762,2009,"YES","YES","NO","NO","NO","10",1.58869471470995,"NO","YES","NO","NO","NO","NO",0.154407148541484,NA
"151","Czech Republic-2010",74.5726667326298,21.5864240474553,87.3395667067,75.0402310760311,0.6115,"Czech Republic","2010",7.4190375944537,"2010Q4",4,1432.57125,36.35,0.0523808294747786,450.87375,549.555,1000.4285,1000.4285,227.2725,142.27025,62.6,432.143,935,2273,288254,1919,1.473,2.298,7.284,-4.19,-3.578,"AM",7.72885582385254,12.571597314878,7.5595594960077,13.9407314504394,22.494578313253,26.3612714859438,"Units",0.75,19808.0710912518,9.89384476449504,2010,"YES","YES","NO","NO","NO","10",0.982430930051908,"NO","YES","NO","NO","NO","NO",-0.102816167785929,NA
"152","Czech Republic-2011",75.4003483475623,22.8971364856239,87.5541403033896,75.8455027192169,1.7138,"Czech Republic","2011",5.6956873245847,"2011Q4",4,1553.65025,38.8,0.0554892214068012,440.16875,636.753,1076.92175,1076.92175,262.961,145.0675,68.7,476.7285,935,1778,299507,1539,1.917,2.353,6.716,-2.724,-2.102,"AM",7.48324441607385,12.6098930685517,7.33888813383888,13.9438333830857,24.2025793650794,30.0778968253968,"Units",0.75,21717.4579392202,9.98587172940929,2011,"YES","YES","NO","NO","NO","10",0.85681320759446,"NO","YES","NO","NO","NO","NO",-0.0301642852811299,NA
"153","Czech Republic-2012",74.1998088319046,24.1649416466631,88.1255797161915,75.1123120458171,0.0786,"Czech Republic","2012",3.88995618882399,"2012Q4",4,1765.084,43.5,0.051834331359234,512.0055,734.05025,1246.0555,1246.0555,309.9935,135.98025,73.055,519.02875,935,-0.8,302810,-0.977,3.279,2.403,6.959,-3.93,-1.559,"AM",NA,12.6208608250992,NA,13.7727726266276,17.8154901960784,24.5842854901961,"Units",0.05,19729.8705111763,9.88988903595287,2012,"YES","YES","NO","NO","NO","10",0.681385958310428,"NO","NO","YES","YES","NO","NO",0.0560179410201918,NA
"154","Czech Republic-2013",74.272475873369,25.8211519890051,88.3112130361456,75.3423530657465,-0.5092,"Czech Republic","2013",3.48804979360678,"2013Q4",4,1822.805,44.825,0.0507496988387862,508.53125,739.11525,1247.6465,1247.6465,343.0865,148.63875,83.4335,575.159,935,-0.484,306632,-0.585,1.439,1.429,6.942,-1.248,-0.000532,"AM",NA,12.633403610489,NA,13.7527154330302,14.2290310077519,18.533330620155,"Units",0.05,19916.0193873722,9.89927968121873,2013,"YES","YES","NO","NO","NO","10",0.452226460403278,"NO","NO","YES","YES","NO","NO",-0.0705109905293694,NA
"155","Czech Republic-2014",75.5266671230022,26.2012989969735,88.3673375912424,76.3776298840724,-1.4322,"Czech Republic","2014",2.11253825167595,"2014Q4",4,1824.76575,43.175,0.0473927763360507,540.42925,722.961,1263.39025,1263.39025,332.843,145.40325,83.129,561.376,935,2715,320787,2751,0.000352,0.000101,6.097,-2.099,0.000183,"AM",7.90654723236804,12.6785326304626,7.91971976092457,14.5580858784618,14.1312109375,18.281921875,"Units",0.05,19744.5586092159,9.89063321891104,2014,"YES","YES","NO","NO","NO","10",0.910167571700689,"NO","NO","YES","YES","NO","NO",-0.0213721961955544,NA
"156","Czech Republic-2015",76.1613297219146,26.4767429304401,86.7363339114281,76.5787256849146,-1.7404,"Czech Republic","2015",3.08071675682552,"2015Q4",4,1831.9655,40.825,0.0404096866587555,548.3465,658.016,1206.3625,1206.3625,379.79925,145.04425,100.75975,625.6035,935,5309,341335,5051,0.000326,0,5.04,-0.000615,0.000245,"AM",8.57715877258367,12.7406196787141,8.52734152246805,14.0689958921614,16.7210116731517,23.9926661478599,"Units",0.05,17715.6168523009,9.78220183759658,2015,"YES","YES","YES","NO","NO","10",0.58434072364344,"NO","NO","YES","YES","NO","NO",-0.0708319444915486,NA
"157","Czech Republic-2016",75.6687153326902,26.2385678693465,86.8111418397424,76.1840546766163,-2.0103,"Czech Republic","2016",2.60872137291107,"2016Q4",4,1818.85575,38.625,0.0408319066679463,567.75525,505.844,1073.59925,1073.59925,434.8285,152.95025,157.478,745.257,935,2451,353321,2299,0.000667,2.01,3.946,0.000719,1.557,"AM",7.80425138352811,12.7751322711505,7.74022952476318,14.801723745702,15.863488372093,23.5903348837209,"Units",0.05,18463.3865756564,9.82354494603369,2016,"YES","YES","YES","YES","NO","10",0.557760634403337,"NO","YES","NO","NO","NO","NO",-0.172807320587875,NA
"158","Czech Republic-2017",77.0172833167688,26.3113690404942,87.1326850638786,77.3216009397215,-0.6844,"Czech Republic","2017",2.11724829554257,"2017Q4",4,1834.38675,37.3,0.0438887252179681,578.98775,463.677,1042.66475,1042.66475,474.702,147.01425,170.006,791.72225,935,4353,375643,4106,2.451,2.365,2.89,1.568,1.654,"AM",8.3786205415523,12.8363945032566,8.32020459757888,15.2005276465305,11.0908914728682,14.7667779069768,"Units",0.5,20379.8960396417,9.92230420566663,2017,"YES","YES","YES","YES","YES","10",1.51896379419789,"NO","YES","NO","NO","NO","NO",0.0103404431398314,NA
"159","Czech Republic-2018",76.409719031573,26.3451324626822,87.3207445439881,76.8806839431728,-0.7412,"Czech Republic","2018",0.961789531948005,"2018Q4",4,1794.2585,34.4,0.045818219043026,561.2855,505.829,1067.114,1067.114,510.75,138.9725,77.422,727.1445,935,2846,395747,2543,2.158,2.021,2.243,0.000891,0.000292,"AM",7.9536697786498,12.8885303971713,7.84109976542212,15.5847234172786,16.5691015625,16.331809375,"Units",1.75,23046.9491261402,10.0452886807119,2018,"YES","YES","YES","YES","YES","10",0.834520691678229,"NO","YES","NO","NO","NO","NO",0.0696492899905496,NA
"160","Czech Republic-2019",75.824255779325,26.9584620095701,87.6918767488722,76.5410914121238,-0.2835,"Czech Republic","2019",0.156828654494886,"2019Q4",4,1793.4615,32.475,0.043660681668143,585.1125,533.5115,1118.62375,1118.62375,463.6245,144.399,66.8145,674.838,935,2566,412978,2183,2.856,3.208,2.001,0.000272,-1.5e-05,"AM",7.85010354517558,12.9311496017592,7.68845535654994,NA,15.3830078125,15.04932421875,"Units",2,23101.7777049854,10.0476648504746,2019,"YES","YES","YES","YES","YES","10",0.323269510977565,"NO","YES","NO","NO","NO","NO",0.0421119341903268,NA
"161","Denmark-2004",97.2935392030724,22.846157230851,77.1918946976902,91.1169444979774,-0.3732,"Denmark","2004",NA,"2004Q4",4,704.87075,47.725,0.169345398969356,312.95025,180.15,508.7065,508.7065,106.23475,25.04425,64.88525,196.16425,128,2668,198024,2399,0.000937,0.000963,5.517,2.073,4.045,"AM",7.88908440703551,12.1961435144523,7.78280726283969,36.5681550893433,15.4567938931298,18.8862977099237,"Units",2,46511.5983324305,10.7474569869777,2004,"NO","NO","NO","NO","NO","11",0.199806620640885,"NO","NO","YES","YES","NO","NO",NA,NA
"162","Denmark-2005",95.4055802809474,26.1345755590184,78.0149919617571,90.0549588324721,-1.1071,"Denmark","2005",NA,"2005Q4",4,645.78325,41.6,0.163948941893488,303.507,160.9,476.245,476.245,75.23475,32.13475,62.169,169.53825,128,2342,208973,2081,1.726,2.265,4.8,4.955,4.192,"AM",7.75876054415766,12.2499603359988,7.64060382639363,38.7996342018155,12.7798461538462,14.031135,"Units",2.25,48799.8256011275,10.7954820180875,2005,"NO","NO","NO","NO","NO","11",0.245620898147474,"NO","NO","YES","YES","NO","NO",NA,NA
"163","Denmark-2006",96.8694239373043,19.6454835929632,79.3977568376097,90.9571627559012,-0.7742,"Denmark","2006",NA,"2006Q4",4,555.41825,33.675,0.169756961852352,269.1465,138.815,418.50575,418.50575,50.0175,38.66275,48.23175,136.9125,128,3912,223719,3604,1.844,1.632,3.9,4.987,3.325,"AM",8.27180403115471,12.3181460790525,8.18979961872823,37.2120204949254,12.7803846153846,16.5267488461538,"Units",3.5,52026.9995142723,10.8595180842431,2006,"NO","NO","NO","NO","NO","11",0.182962826895362,"NO","YES","NO","NO","NO","NO",-0.0329154736440688,NA
"164","Denmark-2007",98.0572558820282,24.8176800603213,80.7429648761807,92.5883879815423,0.4238,"Denmark","2007",NA,"2007Q4",4,497.5165,29.05,0.186863227158362,223.92875,135.4975,365.87225,365.87225,54.414,39.2755,37.9545,131.64425,128,0.908,231814,0.544,1.657,2.523,3.775,5.02,1.447,"AM",-0.0965109003808437,12.3536906049578,-0.608806032126194,41.9558469786583,17.4525670498084,19.6144287356322,"Units",4,58487.0549677696,10.9765607261311,2007,"NO","NO","NO","NO","NO","11",0.205552227985255,"NO","YES","NO","NO","NO","NO",0.0342137364823689,NA
"165","Denmark-2008",97.1841513122279,26.7939328551779,81.0071182203892,92.1114270409008,2.7027,"Denmark","2008",NA,"2008Q4",4,499.49975,27.975,0.201084539724789,214.962,140.8225,359.331,359.331,65.36575,36.36375,38.43925,140.16875,128,-0.511,235115,-1032,3.638,2.461,3.717,3.174,2.917,"AM",NA,12.36783003513,NA,41.5351318717382,32.5826717557252,33.7087614503817,"Units",3.5,64322.0635020842,11.0716579851492,2008,"YES","NO","NO","NO","NO","11",0.376544453835091,"NO","YES","NO","NO","NO","NO",0.091544310596287,NA
"166","Denmark-2009",97.0322562853578,27.6885283510834,81.5614729511049,92.1745353537058,-0.1688,"Denmark","2009",NA,"2009Q4",4,666.193,38.05,0.189460090727473,274.56375,178.735,456.126,456.126,68.17025,62.36425,79.53225,210.067,128,-4905,225287,-5521,1.042,1.201,6.392,-2.798,3.465,"AM",NA,12.3251304239123,NA,42.0334492853856,31.5984942084942,33.6347776061776,"Units",1,58163.2768762815,10.9710094530597,2009,"YES","YES","NO","NO","NO","11",0.283805517506043,"NO","YES","NO","NO","NO","NO",0.0707230530297902,NA
"167","Denmark-2010",96.5105707308012,30.2389675279582,80.682549085979,91.7957923230752,-0.2745,"Denmark","2010",NA,"2010Q4",4,769.3185,43.4,0.176772208527313,349.17125,183.9,534.62325,534.62325,82.719,52.974,99.00225,234.69525,128,1868,232168,1439,2.198,2.805,7.742,-2.71,6.563,"AM",7.53262361878879,12.3552165265181,7.27170370688737,41.2599609872876,22.494578313253,26.3612714859438,"Units",0.75,58041.3984363385,10.9689118010624,2010,"YES","YES","NO","NO","NO","11",0.257937351720705,"NO","NO","YES","YES","NO","NO",-0.0613556604595783,NA
"168","Denmark-2011",97.6281673254142,36.8155646535446,82.1240483612461,93.5055492598974,-0.1942,"Denmark","2011",NA,"2011Q4",4,852.417,46.325,0.184949341444578,372.12375,188.115,560.90925,560.90925,127.22075,44.29725,119.98925,291.50775,128,1336,240186,0.865,2.656,2.413,7.75,-2.056,6.586,"AM",7.19743535409659,12.3891689021667,-0.145025772050258,40.3490291748822,24.2025793650794,30.0778968253968,"Units",0.75,61753.647131977,11.0309083156121,2011,"YES","YES","NO","NO","NO","11",0.176400322261271,"NO","NO","YES","YES","NO","NO",-0.0717753220704942,NA
"169","Denmark-2012",96.235747184651,43.0828234352311,81.8972791954923,92.8713320897211,-0.6904,"Denmark","2012",NA,"2012Q4",4,853.54175,45.525,0.174756263275798,382.736,184.6225,567.923,567.923,99.27975,39.3775,146.9615,285.61875,128,0.229,245353,-0.128,2.354,1.742,7.8,-3.49,6.282,"AM",-1.4740332754279,12.4104532688735,NA,41.8668402392079,17.8154901960784,24.5842854901961,"Units",0.2,58507.5080517852,10.9769103677503,2012,"YES","YES","NO","NO","NO","11",0.148691371317334,"NO","NO","YES","YES","NO","NO",0.044212825270944,NA
"170","Denmark-2013",96.7731022338473,41.2514136386508,81.3709736441896,93.042258908245,-1.0522,"Denmark","2013",NA,"2013Q4",4,859.4845,44.85,0.177934104750117,395.8495,187.9725,584.05375,584.05375,87.50775,35.20925,152.71425,275.43075,128,0.935,251992,0.537,0.000522,0.000504,7.383,-1.236,7.759,"AM",-0.06720874969345,12.4371526199579,-0.621757184473272,43.2387320715007,14.2290310077519,18.533330620155,"Units",0.2,61191.1937042028,11.0217585644245,2013,"YES","YES","NO","NO","NO","11",0.109309843567717,"NO","NO","YES","YES","NO","NO",-0.0583273982729482,86099.4358073309
"171","Denmark-2014",95.3074313825633,48.5347450443368,82.0921821285821,92.6215463343231,-1.3252,"Denmark","2014",NA,"2014Q4",4,876.287,44.7,0.175070857685292,371.4675,194.0575,565.525,565.525,76.15325,22.46575,212.143,310.76225,128,1616,260803,1172,0.000352,0,6.867,1.144,8.924,"AM",7.38770923908104,12.471520612036,7.06646697013696,48.0495807941254,14.1312109375,18.281921875,"Units",0.05,62548.9847332908,11.043705284481,2014,"YES","YES","NO","NO","NO","11",0.22265635635809,"NO","NO","YES","YES","NO","NO",0.0178596535991856,72811.530069079
"172","Denmark-2015",95.2207275574649,55.0302482804194,81.8083092706377,93.0284708941203,-1.2984,"Denmark","2015",NA,"2015Q4",4,840.45875,41.65,0.147651319567262,365.98275,189.6575,555.64025,555.64025,13.95625,51.456,219.40625,284.8185,128,2343,269693,1756,0.000226,0.000301,6.283,-1.33,8.245,"AM",7.7591874385078,12.5050395540264,7.47079377419506,45.2838868257167,16.7210116731517,23.9926661478599,"Units",0.05,53254.8560039631,10.8828442719766,2015,"YES","YES","YES","NO","NO","11",0.184346701959789,"NO","NO","YES","YES","NO","NO",-0.0163547897273216,62917.1174062789
"173","Denmark-2016",94.0483061932192,51.4456330700497,81.6086467968997,91.766992505492,-2.1153,"Denmark","2016",NA,"2016Q4",4,797.7835,38.475,0.148400051802511,343.32975,207.775,551.10475,551.10475,9.92975,25.435,211.31375,246.67875,128,3248,281334,2388,1.7e-05,3e-04,6.017,-0.000106,7.774,"AM",8.08579470128157,12.5472978545754,7.77821147451249,44.6699505214019,15.863488372093,23.5903348837209,"Units",0.05,54663.9983719195,10.9089606066772,2016,"YES","YES","YES","YES","NO","11",0.154065485823451,"NO","YES","NO","NO","NO","NO",-0.185704660130311,61764.0379799462
"174","Denmark-2017",93.6803994520336,58.1166489686014,81.9859423948646,92.0969723306428,-1.9284,"Denmark","2017",NA,"2017Q4",4,778.89,36.15,0.153936303018163,344.42,199.5675,543.9875,543.9875,6.6335,23.34325,204.926,234.903,128,2037,292470,1300,1.058,0.000797,5.817,1.52,7.755,"AM",7.61923341622681,12.5861173762914,7.17011954344963,45.2183251328341,11.0908914728682,14.7667779069768,"Units",0.05,57141.0598350414,10.9532782236534,2017,"YES","YES","YES","YES","YES","11",0.300060660539423,"NO","YES","NO","NO","NO","NO",0.00504536370543694,72470.4544658039
"175","Denmark-2018",94.4607855960453,57.0566152500849,81.7800969213883,92.5871398327871,-2.4592,"Denmark","2018",NA,"2018Q4",4,771.66225,34.875,0.157863492148653,342.64625,212.0975,554.74375,554.74375,2.617,26.7785,187.523,216.91875,128,2389,306755,1815,0.000709,0.000791,5.083,0.000477,7.029,"AM",7.77863014732581,12.6338046623588,7.50384074669895,43.103565071549,16.5691015625,16.331809375,"Units",0.05,61390.6930097009,11.0250135229993,2018,"YES","YES","YES","YES","YES","11",0.198783280692286,"NO","YES","NO","NO","NO","NO",0.0359645587629777,68199.8600337473
"176","Denmark-2019",94.7953951282966,62.3565263785538,81.933484772931,93.3165712797633,-2.0685,"Denmark","2019",NA,"2019Q4",4,773.5315,33.7,0.149652363610345,342.8075,221.785,564.5925,564.5925,1.85875,19.0195,188.061,208.939,128,2367,319491,1928,0.000729,0.000784,5.033,2.496,7.86,"AM",7.76937860951398,12.6744843833889,7.56423847517049,NA,15.3830078125,15.04932421875,"Units",0.05,59822.0929608968,10.9991303192164,2019,"YES","YES","YES","YES","YES","11",0.0826994649007975,"NO","YES","NO","NO","NO","NO",0.0248771205871442,63576.9371336664
"177","Egypt, Arab Rep.-2004",24.0689675422886,24.4032285901091,61.7298899735133,30.1983600700026,-2.36597777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Egypt, Arab Rep.-2005",25.0093973699807,23.5682413372121,64.6047319399337,31.4455603136062,-2.5051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Egypt, Arab Rep.-2006",21.9780257155474,23.1335626431364,66.1769317216477,29.3221671133883,-3.1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Egypt, Arab Rep.-2007",25.0975884078325,23.789147754104,67.7307358105361,32.1543659806055,-1.92553333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Egypt, Arab Rep.-2008",26.5617684169421,22.9461384401146,71.1111749887036,33.9160068443724,-0.5563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Egypt, Arab Rep.-2009",28.1973470859769,21.7206494432113,72.3181566371759,35.3503337459485,-1.4488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Egypt, Arab Rep.-2010",26.3813317415613,21.8708492024025,75.3180568961265,34.5206603948788,-1.0445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Egypt, Arab Rep.-2011",21.8774976135685,21.796403225504,77.1207391721165,31.3067358955937,0.3748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Egypt, Arab Rep.-2012",22.3391333922239,21.5665513465864,77.889286586778,31.8060583534477,0.9066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Egypt, Arab Rep.-2013",18.9918834550147,21.7477259471396,79.4825006597276,29.4871805167593,-0.9612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Egypt, Arab Rep.-2014",18.4939854257194,21.5286496624794,79.4472002787739,29.0680205227111,-0.0451999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Egypt, Arab Rep.-2015",19.4747917123167,21.3292770391169,78.9106304560858,29.7216650248269,-0.3074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Egypt, Arab Rep.-2016",20.3960049540198,20.9636519443196,80.1467475288956,30.6666044605709,-1.5573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Egypt, Arab Rep.-2017",21.4036027467824,20.5301308685018,80.9981163418346,31.5979587909305,-1.5234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Egypt, Arab Rep.-2018",23.1059576175362,20.6780601923027,80.2033485036471,32.8000432267358,-1.6752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Egypt, Arab Rep.-2019",23.9058792499673,21.320978741344,80.8522707437868,33.614917277831,-1.0635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Finland-2004",100,48.1326371920432,87.8555215523619,97.4486423290927,-0.5182,"Finland","2004",NA,"2004Q4",4,64.2365,41.175,1.260225,8.7175,5.49625,14.49925,14.49925,37.10975,7.04925,5.57825,49.73725,172,3992,170889,3724,0.000147,0.000147,8.875,2.157,5.603,"AM",8.29204763743135,12.0487695019064,8.22255363839696,20.7681082515256,15.4567938931298,18.8862977099237,"Units",2,37702.8453762641,10.5374908447595,2004,"NO","NO","NO","NO","NO","13",0.02668000125523,"NO","NO","YES","YES","NO","NO",NA,NA
"194","Finland-2005",98.4404790259112,54.0817195251242,88.7752349165082,96.8837823549544,-1.1511,"Finland","2005",NA,"2005Q4",4,62.75125,38.55,1.222375,8.57425,6.12375,15.031,15.031,32.8455,7.85725,7.01775,47.72025,172,2780,181110,2448,0.000774,1.016,8.475,2.589,2.877,"AM",7.93020620668468,12.1068598604586,7.80302664363222,20.5852417302799,12.7798461538462,14.031135,"Units",2.25,39040.2888825052,10.572349440154,2005,"NO","NO","NO","NO","NO","13",0.0323265814885837,"NO","YES","NO","NO","NO","NO",NA,NA
"195","Finland-2006",97.994503577163,46.862325677345,90.2923175868809,96.2407704513897,-0.7222,"Finland","2006",NA,"2006Q4",4,63.31075,37.325,1.266175,7.4425,6.574,14.5805,14.5805,31.2105,7.5635,9.95675,48.73025,172,4028,194107,3653,1.275,1.236,7.775,3.924,3.931,"AM",8.30102525383845,12.1761648323914,8.20330402679528,19.8961703408321,12.7803846153846,16.5267488461538,"Units",3.5,41188.0936997302,10.6259045057019,2006,"NO","NO","NO","NO","NO","13",0.0243665588923474,"NO","YES","NO","NO","NO","NO",-0.0309643112792719,NA
